iter	Passed	Remaining
756	2801	899
757	2804	895
758	2809	891
759	2812	888
760	2815	884
761	2818	880
762	2822	876
763	2826	873
764	2829	869
765	2832	865
766	2836	861
767	2839	857
768	2842	853
769	2846	850
770	2849	846
771	2853	842
772	2856	838
773	2859	835
774	2862	831
775	2866	827
776	2870	823
777	2874	820
778	2877	816
779	2880	812
780	2883	808
781	2887	804
782	2890	801
783	2894	797
784	2897	793
785	2900	789
786	2903	785
787	2906	782
788	2909	778
789	2912	774
790	2924	772
791	2927	768
792	2930	765
793	2934	761
794	2937	757
795	2941	753
796	2945	750
797	2948	746
798	2951	742
799	2955	738
800	2958	735
801	2961	731
802	2965	727
803	2969	723
804	2974	720
805	2978	716
806	2982	713
807	2985	709
808	2988	705
809	2992	701
810	2995	698
811	2999	694
812	3003	690
813	3006	686
814	3009	683
815	3014	679
816	3017	675
817	3020	671
818	3023	668
819	3026	664
820	3030	660
821	3034	657
822	3037	653
823	3040	649
824	3044	645
825	3047	642
826	3051	638
827	3054	634
828	3057	630
829	3061	627
830	3064	623
831	3067	619
832	3071	615
833	3074	611
834	3077	608
835	3081	604
836	3084	600
837	3087	596
838	3091	593
839	3094	589
840	3097	585
841	3101	581
842	3104	578
843	3107	574
844	3113	571
845	3116	567
846	3120	563
847	3123	559
848	3127	556
849	3130	552
850	3134	548
851	3136	544
852	3140	541
853	3144	537
854	3147	533
855	3150	530
856	3154	526
857	3157	522
858	3161	518
859	3164	515
860	3167	511
861	3171	507
862	3175	504
863	3179	500
864	3182	496
865	3185	492
866	3189	489
867	3194	485
868	3198	482
869	3203	478
870	3208	475
871	3212	471
872	3215	467
873	3218	464
874	3223	460
875	3228	456
876	3231	453
877	3234	449
878	3238	445
879	3242	442
880	3245	438
881	3249	434
882	3253	431
883	3256	427
884	3260	423
885	3263	419
886	3267	416
887	3270	412
888	3273	408
889	3277	405
890	3280	401
891	3283	397
892	3287	393
893	3290	390
894	3293	386
895	3297	382
896	3300	379
897	3303	375
898	3307	371
899	3311	367
900	3314	364
901	3317	360
902	3321	356
903	3324	353
904	3329	349
905	3332	345
906	3335	342
907	3340	338
908	3344	334
909	3348	331
910	3351	327
911	3356	323
912	3359	320
913	3363	316
914	3366	312
915	3370	309
916	3374	305
917	3378	301
918	3381	298
919	3386	294
920	3390	290
921	3395	287
922	3398	283
923	3404	279
924	3407	276
925	3410	272
926	3413	268
927	3417	265
928	3421	261
929	3424	257
930	3428	254
931	3431	250
932	3436	246
933	3441	243
934	3444	239
935	3447	235
936	3452	232
937	3455	228
938	3459	224
939	3462	221
940	3466	217
941	3470	213
942	3473	209
943	3476	206
944	3480	202
945	3484	198
946	3487	195
947	3490	191
948	3494	187
949	3500	184
950	3503	180
951	3506	176
952	3510	173
953	3514	169
954	3517	165
955	3521	162
956	3524	158
957	3528	154
958	3531	150
959	3535	147
960	3539	143
961	3542	139
962	3545	136
963	3549	132
964	3553	128
965	3556	125
966	3560	121
967	3564	117
968	3568	114
969	3571	110
970	3574	106
971	3578	103
972	3582	99
973	3585	95
974	3588	92
975	3592	88
976	3595	84
977	3598	80
978	3602	77
979	3606	73
980	3609	69
981	3613	66
982	3617	62
983	3620	58
984	3623	55
985	3626	51
986	3630	47
987	3633	44
988	3637	40
989	3640	36
990	3643	33
991	3647	29
992	3651	25
993	3656	22
994	3660	18
995	3665	14
996	3669	11
997	3672	7
998	3676	3
999	3680	0
