iter	Logloss	Accuracy
176	0.1842030342	0.9270038168
177	0.1839447888	0.9267175573
178	0.1836730187	0.9270038168
179	0.1834603971	0.927480916
180	0.1832159143	0.9276717557
181	0.183062246	0.9275763359
182	0.1829792709	0.927480916
183	0.1827072401	0.9278625954
184	0.1824581	0.9278625954
185	0.1821950414	0.9283396947
186	0.1819682118	0.9282442748
187	0.1818379284	0.928148855
188	0.1817376375	0.9282442748
189	0.1815395295	0.9288167939
190	0.1814497636	0.9286259542
191	0.1813108927	0.928721374
192	0.1810762488	0.9290076336
193	0.1808524366	0.9292938931
194	0.1806335259	0.929389313
195	0.1804792955	0.929389313
196	0.1802868903	0.9291030534
197	0.1800233146	0.9296755725
198	0.1798916394	0.9297709924
199	0.1797332397	0.9299618321
200	0.1792915994	0.9304389313
201	0.1791675994	0.9304389313
202	0.1790142791	0.9303435115
203	0.178753471	0.9305343511
204	0.1784821869	0.9305343511
205	0.1782450055	0.9305343511
206	0.178119419	0.9305343511
207	0.177832163	0.930629771
208	0.1776330788	0.930629771
209	0.1773783804	0.9311068702
210	0.1771661673	0.9313931298
211	0.1770106918	0.9316793893
212	0.1768282597	0.9317748092
213	0.1767712202	0.931870229
214	0.1766094546	0.9320610687
215	0.1763621804	0.9321564885
216	0.1762815765	0.9322519084
217	0.1761039445	0.9323473282
218	0.1759061867	0.9322519084
219	0.1757258213	0.9322519084
220	0.1754980882	0.9323473282
221	0.1754085787	0.9323473282
222	0.1752115097	0.9327290076
223	0.175028331	0.9330152672
224	0.1748876277	0.9332061069
225	0.1746195998	0.9332061069
226	0.1744873207	0.9334923664
227	0.1742927561	0.9334923664
228	0.1740486102	0.9334923664
229	0.1738242052	0.9336832061
230	0.1736174659	0.9338740458
231	0.1734751691	0.9340648855
232	0.1732572842	0.934351145
233	0.173051697	0.9344465649
234	0.1728771701	0.9347328244
235	0.1726335258	0.9348282443
236	0.1725102947	0.9348282443
237	0.1722060033	0.9349236641
238	0.171978282	0.935019084
239	0.1717113472	0.9349236641
240	0.1715101778	0.935019084
241	0.1712966769	0.9351145038
242	0.1711548667	0.9354961832
243	0.171131684	0.9354007634
244	0.1709188784	0.9354961832
245	0.170777947	0.9354961832
246	0.1705275048	0.9356870229
247	0.1703731507	0.9359732824
248	0.1702350783	0.9361641221
249	0.1700410801	0.9357824427
250	0.1697957332	0.9358778626
251	0.1694561055	0.9363549618
252	0.1692446072	0.9364503817
253	0.1690679918	0.9366412214
254	0.1688568478	0.9367366412
255	0.1685927096	0.9369274809
256	0.168489305	0.9371183206
257	0.1682164935	0.9371183206
258	0.1681128051	0.9369274809
259	0.167855076	0.9369274809
260	0.1676215212	0.9371183206
261	0.167349653	0.9375954198
262	0.1671773306	0.9374045802
263	0.1669923194	0.9379770992
264	0.1667378883	0.9375954198
265	0.1666105551	0.9378816794
266	0.1664413492	0.9382633588
267	0.1662540398	0.9383587786
268	0.1660404894	0.9383587786
269	0.1658931674	0.9382633588
270	0.1657427778	0.9382633588
271	0.1655712211	0.9386450382
272	0.1653521167	0.9385496183
273	0.165229681	0.9386450382
274	0.1651017689	0.9389312977
275	0.1650381891	0.9389312977
276	0.1648851632	0.9389312977
277	0.1647101898	0.9390267176
278	0.1645480719	0.9391221374
279	0.1644079155	0.9391221374
280	0.1642655183	0.9390267176
281	0.1640953824	0.9393129771
282	0.1639826946	0.9394083969
283	0.1637146488	0.9394083969
284	0.1635578486	0.9395038168
285	0.1633191567	0.9395038168
286	0.1631598136	0.9395992366
287	0.1630269612	0.9396946565
288	0.1627997271	0.9398854962
289	0.1625430499	0.939980916
290	0.162404558	0.9400763359
291	0.1622183397	0.9403625954
292	0.1621524659	0.9404580153
293	0.1619524454	0.9403625954
294	0.1617586984	0.9404580153
295	0.1615459356	0.9407442748
296	0.1614653571	0.9410305344
297	0.1612925017	0.9410305344
298	0.161130843	0.9410305344
299	0.1609335615	0.941221374
300	0.1607776592	0.9410305344
301	0.1605912134	0.9409351145
302	0.1604634846	0.9409351145
303	0.1602192011	0.941221374
304	0.1599749936	0.9415076336
305	0.1598278603	0.941889313
306	0.1596843186	0.9420801527
307	0.1594832664	0.9421755725
308	0.1592708937	0.9422709924
309	0.1590964973	0.9427480916
310	0.1590066559	0.9427480916
311	0.1588286702	0.9425572519
312	0.1587496703	0.9425572519
313	0.1586076939	0.9428435115
314	0.158437183	0.9424618321
315	0.1583368637	0.9426526718
316	0.1582654109	0.9425572519
317	0.1581248322	0.9430343511
318	0.157913495	0.9434160305
